,Label_0,Label_1,Label_2,Label_3,Label_4,Label_5,Label_6,Label_7,Label_8,Label_9,Label_10,Label_11,Label_12,Label_13,Label_14,Label_15,Label_16,Label_17,Label_18,Label_19,Label_20,Label_21,Label_22,Label_23,Label_24,Label_25,Label_26,Label_27,Label_28,Label_29,Label_30,Label_31,Label_32,Label_33,Label_34,Label_35,Label_36,Label_37,Label_38,Label_39,Label_40,Label_41,Label_42,Label_43,Label_44,Label_45,Label_46,Label_47,Label_48,Label_49,Label_50,Label_51,Label_52,Label_53,Label_54,Label_55,Label_56,Label_57,Label_58,Label_59,Label_60,Label_61,Label_62,Label_63,Label_64,Label_65,Label_66,Label_67,Label_68,Label_69,Label_70,Label_71,Label_72,Label_73,Label_74,Label_75,Label_76,Label_77,Label_78,Label_79,Label_80,Label_81,Label_82,Label_83,Label_84,Label_85,Label_86,Label_87,Label_88,Label_89,Label_90,Label_91,Label_92,Label_93,Label_94,Label_95,Label_96,Label_97,Label_98,Label_99
0,0,0,0,7,0,0,0,97,25,0,0,0,21,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,35,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,9,0,3,0,55,5,0,0,0,3,0,0,56,0,0,19,4,0,0,0,0,50,0,0,0,1,0,1,3,105,0,0,0,0,2,0,0,12,0,16,0,2,3,1,0,10,0,0,0,6,0,0,7,0,0,0
1,3,0,0,0,0,0,0,0,0,0,0,5,26,0,0,0,0,0,0,0,0,7,6,21,0,6,0,17,1,0,0,3,0,0,0,1,0,0,0,40,6,4,4,0,47,0,0,7,0,0,0,0,13,0,0,0,7,6,0,0,1,2,67,0,1,1,0,9,0,1,8,0,0,3,0,0,19,0,0,14,0,0,0,1,0,0,25,46,1,0,0,156,4,11,0,1,3,0,2,24
2,0,12,0,0,0,0,0,0,0,8,7,0,6,0,0,0,1,0,4,0,0,24,0,0,0,0,1,0,8,0,0,0,2,0,7,0,0,1,1,0,8,48,0,0,19,1,49,1,0,21,0,12,3,31,1,8,0,0,0,0,0,0,0,0,0,1,0,69,0,0,0,0,0,0,0,153,0,3,0,0,0,1,24,1,4,0,66,6,0,0,1,0,0,0,0,0,0,1,0,0
3,0,0,0,0,0,0,6,0,0,17,0,0,0,13,0,3,0,0,0,2,0,0,0,0,0,2,6,0,0,0,0,0,0,3,15,0,0,0,11,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,3,0,0,0,0,43,0,0,14,0,0,8,0,0,0,0,0,0,0,0,0,26,5,0,0,0,0,0,0,0,0,0,20
4,0,0,1,0,1,0,8,0,1,0,0,0,13,0,20,2,0,0,0,0,49,7,0,0,4,0,0,0,0,0,0,0,12,2,0,1,0,0,0,1,0,0,4,2,0,0,17,0,0,0,0,0,7,1,16,0,0,0,1,14,0,48,0,0,0,1,0,3,0,0,0,0,2,0,0,0,10,0,0,39,0,0,0,51,0,19,4,0,0,0,0,0,0,11,1,4,0,0,7,0
5,3,0,1,0,0,39,0,1,0,0,0,0,2,1,0,0,0,0,0,1,0,0,69,2,0,0,0,0,161,186,2,0,0,0,12,0,23,4,1,0,6,0,0,0,0,0,0,0,23,0,0,23,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,0,14,0,0,11,0,0,34,0,2,0,0,0,0,2,0,0,0,0,0,29,21,1,14,0,89,10,0,0,0,13,0,0
6,0,1,0,0,0,0,2,8,0,0,4,2,0,0,1,0,0,0,2,0,0,1,0,17,0,0,3,75,0,0,0,7,3,15,3,0,0,0,0,0,0,0,0,9,0,0,10,1,2,9,0,0,7,4,0,112,3,0,0,0,0,0,13,5,19,0,17,1,1,0,7,0,0,0,0,0,0,0,100,0,0,0,0,0,0,7,2,0,0,0,0,0,26,0,0,2,0,0,0,0
7,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,0,0,30,23,0,0,0,0,0,0,0,4,0,0,0,0,25,1,0,0,0,0,5,0,1,3,0,71,0,0,19,2,4,0,0,17,0,1,0,0,0,17,0,0,0,0,20,0,0,68,0,0,0,59,8,0,0,0,0,27,6,0,0,0,2,0,0,0,0,0,0
8,0,0,14,1,2,0,0,20,0,0,1,0,0,0,0,0,27,0,0,0,0,0,0,23,0,10,0,4,0,0,0,1,0,0,0,0,0,0,0,0,9,5,0,0,0,12,0,140,0,46,0,15,5,18,0,0,12,0,0,0,16,4,0,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,29,0,0,0,10,0,0,0,2,0,1,0,0,0,9,0,2,2,0
9,0,39,73,0,2,0,19,8,1,5,0,0,11,0,0,0,1,0,0,6,0,1,0,0,0,0,0,0,0,0,1,2,0,8,0,0,17,0,0,0,0,1,0,0,0,0,0,2,0,6,0,7,0,2,63,0,0,0,4,0,0,0,0,0,0,0,0,19,3,0,0,0,1,0,0,0,0,0,0,5,8,0,0,0,3,1,7,0,0,0,0,1,16,78,0,7,0,0,0,0
10,0,11,0,0,0,0,0,18,0,3,22,17,0,0,0,1,0,2,0,0,0,8,0,0,0,0,0,0,0,0,0,2,0,8,0,29,1,0,0,0,0,48,0,0,2,0,0,2,0,0,0,0,2,0,0,3,0,1,0,0,0,0,0,8,0,0,0,0,0,3,0,1,0,0,0,15,0,3,0,0,3,1,10,0,1,0,0,2,0,0,12,2,0,0,0,0,0,0,1,0
11,0,2,0,0,0,5,0,0,4,3,0,12,13,0,4,1,0,0,0,0,4,0,0,0,0,1,1,0,0,0,115,42,0,0,0,0,0,0,0,0,20,1,5,0,47,2,1,0,0,0,0,0,0,0,7,0,4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,11,0,37,2,0,2,0,0,15,13,0,2,0,0,12,0,0,0,1,0,4,0,0,0,3,0,1,0,0
12,0,46,0,0,0,0,17,0,0,169,0,8,0,0,0,37,126,14,1,1,0,0,0,0,0,0,3,0,2,6,0,0,8,0,0,0,0,0,0,0,0,0,1,0,1,17,0,0,0,2,0,0,2,0,0,0,16,22,0,81,0,30,4,3,132,0,0,0,0,0,0,0,8,0,6,0,17,1,0,0,0,8,0,0,2,0,0,0,0,0,14,0,0,0,79,0,12,0,23,0
13,120,0,0,4,34,0,0,11,2,7,0,0,13,1,0,0,16,0,0,0,4,0,0,18,15,0,5,0,23,0,2,0,0,1,0,10,9,35,1,0,0,0,0,0,0,0,0,0,0,0,0,10,1,2,0,2,20,0,0,0,12,0,4,3,0,1,19,0,0,0,0,0,3,0,2,0,0,0,0,9,0,0,0,1,0,0,0,0,3,0,0,0,0,0,6,0,0,11,39,0
14,0,0,7,0,0,7,0,0,0,18,0,0,0,0,13,0,0,0,0,0,0,0,0,1,0,2,9,0,0,0,0,0,51,1,0,0,102,0,0,38,0,0,0,0,0,0,0,0,0,4,0,0,0,0,41,0,0,2,0,1,0,4,0,0,0,6,15,0,0,0,15,1,0,47,0,5,0,0,0,29,0,12,17,0,0,0,0,0,0,27,0,0,0,0,3,9,90,0,0,40
